2025-10-05 19:38:59 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:38:59 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 567, 1385, 635)
2025-10-05 19:38:59 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:38:59 | DEBUG   | tracer          | [ocr] League window found: -8,-8,1928,1040 (size: 1936x1048)
2025-10-05 19:38:59 | DEBUG   | tracer          | [ocr] ROI calculated: (534, 567, 1385, 635)
2025-10-05 19:38:59 | DEBUG   | tracer          | [ocr] ROI calculated and locked for 1.5s
2025-10-05 19:38:59 | INFO    | tracer          | [phase] Lobby
2025-10-05 19:39:34 | DEBUG   | websocket       | Sending ping
2025-10-05 19:39:54 | DEBUG   | websocket       | Sending ping
2025-10-05 19:40:14 | DEBUG   | websocket       | Sending ping
2025-10-05 19:40:34 | DEBUG   | websocket       | Sending ping
2025-10-05 19:40:35 | INFO    | tracer          | Keyboard interrupt received
2025-10-05 19:40:35 | INFO    | tracer          | System tray icon stopped
2025-10-05 19:40:35 | INFO    | tracer          | System tray stopped
2025-10-05 19:40:38 | INFO    | startup         | ============================================================
2025-10-05 19:40:38 | INFO    | startup         | SkinCloner - Starting...
2025-10-05 19:40:38 | INFO    | startup         | ============================================================
2025-10-05 19:40:38 | INFO    | tracer          | Starting...
2025-10-05 19:40:38 | INFO    | tracer          | System tray manager started - no console window
2025-10-05 19:40:38 | INFO    | tracer          | System tray icon initialized - console hidden
2025-10-05 19:40:38 | INFO    | tracer          | Starting automatic skin download in background...
2025-10-05 19:40:38 | INFO    | tracer          | LCU ready (port 52484)
2025-10-05 19:40:38 | INFO    | tracer          | Using repository ZIP downloader (most efficient)...
2025-10-05 19:40:38 | INFO    | tracer          | LCU connected - detected language: fr_FR
2025-10-05 19:40:38 | INFO    | tracer          | Auto-detected OCR language: fra (LCU: fr_FR)
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing AvifImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing BlpImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing BmpImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing BufrStubImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing CurImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing DcxImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing DdsImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing EpsImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing FitsImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing FliImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing FpxImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Image: failed to import FpxImagePlugin: No module named 'olefile'
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing FtexImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing GbrImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing GifImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing GribStubImagePlugin
2025-10-05 19:40:38 | DEBUG   | PIL.Image       | Importing Hdf5StubImagePlugin
